Afrique du Sud,l’,féminin,en Afrique du Sud
Afghanistan,l’,masculin,en Afghanistan
Albanie,l’,féminin,en Albanie
Algérie,l’,féminin,en Algérie
Allemagne,l’,féminin,en Allemagne
Andorre,l’,féminin,en Andorre
Angola,l’,masculin,en Angola
Arabie saoudite,l’,féminin,en Arabie saoudite
Argentine,l’,féminin,en Argentine
Arménie,l’,féminin,en Arménie
Australie,l’,féminin,en Australie
Autriche,l’,féminin,en Autriche
Azerbaïdjan,l’,masculin,en Azerbaïdjan
Bahamas,les,féminin,aux Bahamas
Bahreïn,sans article,masculin,à Bahreïn
Bangladesh,le,masculin,au Bangladesh
Barbade,la,féminin,à la Barbade
Biélorussie,la,féminin,en Biélorussie
Belgique,la,féminin,en Belgique
Bélize,le,masculin,au Bélize
Bénin,le,masculin,au Bénin
Bhoutan,le,masculin,au Bhoutan
Birmanie,la,féminin,en Birmanie
Bolivie,la,féminin,en Bolivie
Bosnie-Herzégovine,la,féminin,en Bosnie-Herzégovine
Botswana,le,masculin,au Botswana
Brésil,le,masculin,au Brésil
Brunei,sans article,masculin,à Brunei
Bulgarie,la,féminin,en Bulgarie
Burkina Faso,le,masculin,au Burkina Faso
Burundi,le,masculin,au Burundi
Cameroun,le,masculin,au Cameroun
Canada,le,masculin,au Canada
Chili,le,masculin,au Chili
Chine,la,féminin,en Chine
Chypre,sans article,féminin,à Chypre
Colombie,la,féminin,en Colombie
Comores,les,féminin,aux Comores
Congo,le,masculin,au Congo
Corée du Nord,la,féminin,en Corée du Nord
Corée du Sud,la,féminin,en Corée du Sud
Costa Rica,le,masculin,au Costa Rica
Côte d’Ivoire,la,féminin,en Côte d’Ivoire
Croatie,la,féminin,en Croatie
Cuba,sans article,féminin,à Cuba
Danemark,le,masculin,au Danemark
Djibouti,sans article,masculin,à Djibouti
Dominique,la,féminin,à la Dominique
Égypte,l’,féminin,en Égypte
Émirats arabes unis,les,masculin,aux Émirats arabes unis
Équateur,l’,masculin,en Équateur
Érythrée,l’,féminin,en Érythrée
Espagne,l’,féminin,en Espagne
Estonie,l’,féminin,en Estonie
États-Unis,les,masculin,aux États-Unis
Éthiopie,l’,féminin,en Éthiopie
Fidji,les,féminin,aux Fidji
Finlande,la,féminin,en Finlande
France,la,féminin,en France
Gabon,le,masculin,au Gabon
Gambie,la,féminin,en Gambie
Géorgie,la,féminin,en Géorgie
Ghana,le,masculin,au Ghana
Grèce,la,féminin,en Grèce
Grenade,la,féminin,à la Grenade
Guatemala,le,masculin,au Guatemala
Guinée,la,féminin,en Guinée
Guinée-Bissau,la,féminin,en Guinée-Bissau
Guinée équatoriale,la,féminin,en Guinée équatoriale
Guyana,le,masculin,au Guyana
Haïti,sans article,masculin,à Haïti
Honduras,le,masculin,au Honduras
Hongrie,la,féminin,en Hongrie
Îles Féroé,les,féminin,aux Îles Féroé
Île Maurice,la,féminin,à l’Île Maurice
Îles Marshall,les,féminin,aux Îles Marshall
Îles Salomon,les,féminin,aux Îles Salomon
Inde,l’,féminin,en Inde
Indonésie,l’,féminin,en Indonésie
Iran,l’,masculin,en Iran
Irak,l’,masculin,en Irak
Irlande,l’,féminin,en Irlande
Islande,l’,féminin,en Islande
Israël,sans article,masculin,en Israël
Italie,l’,féminin,en Italie
